% nonlinear oscillator
%
% time (sec)       theta (rad)
331.77312627       0.54487042
333.75578658       0.20736332
335.74143505      -0.24384301
337.69250894      -0.89724042
339.64449270       0.65202527
341.62968335       0.43932920
343.61188566       0.60076318
345.56536158      -0.13641243
347.51792739       0.00548153
349.50058280      -0.53666188
351.48622329       0.43947758
353.43729481      -0.14272739
355.38927536       0.24500585
357.37445845      -0.60862829
359.35665629       0.47824309
361.31012745       0.00786913
363.26268935      -0.30258488
365.24533987      -0.45496149
367.23097239      -0.30240021
369.18204154       0.86334719
371.13401887      -0.34154390
373.11919442      -0.28530473
375.10138780       0.24643661
377.05485421       0.27578137
379.00741221      -0.20530540
380.99005784       0.09561007
382.97568239       0.12910722
384.92674918      -0.05201390
386.87872330      -0.14478281
388.86389131      -0.24223837
390.84608024       0.19930156
392.79954189      -0.23443684
394.75209599       0.11817792
396.73473674      -0.03881165
398.72035334       0.40337329
400.67141777       0.04679214
402.62338868       0.28319745
404.60854916      -0.06283742
406.59073364       0.70128561
408.54419055       0.14503107
410.49674076       0.42286662
412.47937663      -0.12474284
414.46498528       0.48441838
416.41604735      -0.26380219
418.36801506      -0.31884113
420.35316803      -0.49096576
422.33534805       0.52926772
424.28880022       0.09388279
426.24134654      -0.20077813
428.22397755      -0.31113883
430.20957826      -0.53812661
432.16063798      -0.50520823
434.11260248       0.29813388
436.09774794      -0.88102199
438.07992352       0.32295414
440.03337096       0.27323265
441.98591340       0.36660495
443.96853953      -0.02157496
445.95413232       0.08295181
447.90518968      -0.48303173
449.85715099      -0.01069051
451.84228895      -0.51492814
453.82446009       0.32570993
455.77790280       0.66655579
457.73044136      -0.40568645
459.71306263       0.36528564
461.69864750      -0.29804181
463.64970252      -0.37156123
465.60166063       1.48365726
467.58679109      -0.31937661
469.56895780      -0.78263027
471.52239579       0.67947222
473.47493047       0.99062697
475.45754689      -0.15760100
477.44312385       0.29320492
479.39417652       0.02090159
481.34613144      -0.00724100
483.33125442      -0.01825779
485.31341670       0.27812771
487.26684997       0.15777441
489.21938079       0.05269759
491.20199236      -0.02861936
493.18756141      -0.05064179
495.13861174       0.11258538
497.09056347      -0.13310447
499.07567898      -0.41072159
501.05783683      -0.21114913
503.01126539       0.48759911
504.96379234       0.09602079
506.94639907      -0.25192376
508.93196023      -0.34576044
510.88300822       0.02535053
512.83495677       0.03400741
514.82006480      -0.68596639
516.80221824      -0.14985295
518.75564210       0.42426384
520.70816518       0.32768548
522.69076707      -0.15308632
524.67632035      -0.24509258
526.62736600       0.50229386
528.57931136      -0.16777974
530.56441194       0.91116194
532.54656097      -0.00840864
534.49998012       0.48345813
536.45249935       0.10067799
538.43509640      -0.28909046
540.42064181      -0.03420844
542.37168513       0.12023834
544.32362731      -0.19904412
546.30872044       0.13435777
548.29086506       0.07992724
550.24427951       0.37575437
552.19679489      -0.01114883
554.17938711      -0.02902564
556.16492466      -0.00001295
558.11596564       0.50266926
560.06790465       0.01069730
562.05299034      -0.27945431
564.03513055       0.42455583
565.98854032       0.37458072
567.94105184       0.00985449
569.92363925      -0.22322291
571.90916894       0.27865662
573.86020759       0.32524952
575.81214343       0.21049435
577.79722168       0.05466270
579.77935750       0.55860738
581.73276258       0.77830463
583.68527026       0.22828218
585.66785285      -0.53878296
587.65337469      -0.00628221
589.60441101      -0.55737207
591.55634368      -0.18031465
593.54141452      -0.51343559
595.52354594       0.21915497
597.47694634       0.04549347
599.42945017      -0.07798352
601.41202795      -0.08245435
603.39754195       0.14920668
605.34857595       0.13349786
607.30050546       0.09636764
609.28556888      -0.45165528
611.26769591       0.10308859
613.22109164      -0.48831340
615.17359164      -0.23557423
617.15616461       0.72818109
619.14167078      -0.18874619
621.09270246      -0.74809370
623.04462881       0.12349681
625.02968482      -0.15596825
627.01180747      -0.73422116
628.96519852       0.18139044
630.91769469      -0.41002534
632.90026286      -1.05240270
634.88576121      -0.39961009
636.83679057      -0.36066626
638.78871376      -0.06654355
640.77376237      -0.39843313
642.75588065       0.25735039
644.70926703       0.31491588
646.66175938      -0.22227673
648.64432275       0.37962564
650.62981329      -0.20004616
652.58084033      -0.12945484
654.53276037       0.27644734
656.51780159       0.02296343
658.49991549      -0.38976717
660.45329722      -0.01666736
662.40578574       0.30522521
664.38834433      -0.07097973
666.37382706       0.20835648
668.32485179      -0.44251980
670.27676868      -0.27809824
672.26180252       0.57026774
674.24391204       0.69727808
676.19728912       0.37462456
678.14977382      -0.30172966
680.13232762      -0.13722777
682.11780256      -0.85039870
684.06882498      -0.52370527
686.02073872       0.86490001
688.00576519       0.22487159
689.98787035       0.18987079
691.94124277      -0.50290418
693.89372366      -0.37074955
695.87627269      -0.05913174
697.86173984       0.46526599
699.81275995      -0.00475910
701.76467054      -0.52861303
703.74968965       0.09363132
705.73179045       0.50674719
707.68515823       0.18851667
709.63763531       0.25874206
711.62017956       0.71106085
713.60563894       0.23958488
715.55665674      -0.31588957
717.50856420      -0.30930773
719.49357594       0.44900130
721.47567240      -0.05398080
723.42903553      -0.61436734
725.38150881      -0.27447419
727.36404829      -1.04640211
729.34949990      -0.41428585
731.30051540       0.22398698
733.25241971       0.30976993
735.23742411      -0.84874289
737.21951622      -0.13364667
739.17287472      -0.46797458
741.12534419       0.53319086
743.10787891       0.26302103
745.09332277       0.41816449
747.04433596       0.00847512
748.99623714      -0.19246029
750.98123420       0.85228488
752.96332197      -0.25779920
754.91667584       0.42869775
756.86914151      -0.63361949
758.85167148       0.05323366
760.83710758      -0.04343953
762.78811847       0.20189500
764.74001653      -0.41994539
